City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Qui Nhon,VN,78.26,clear sky,13.7667,109.2333,Seagull Hotel
8,Miraflores,MX,77.65,overcast clouds,19.2167,-98.8083,Hotel Mansión
9,Kavieng,PG,84.61,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
12,Warangal,IN,76.1,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
14,Butaritari,KI,82.13,clear sky,3.0707,172.7902,Isles Sunset Lodge
21,Fort Payne,US,87.01,clear sky,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
22,Meulaboh,ID,75.56,light rain,4.1363,96.1285,Kost Pria
23,Guerrero Negro,MX,79.38,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Bandarbeyla,SO,76.14,overcast clouds,9.4942,50.8122,JABIR HOTEL
28,Cockburn Town,TC,83.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
30,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
34,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
39,Sakakah,SA,88.12,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
40,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
45,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
47,Trairi,BR,77.94,clear sky,-3.2778,-39.2689,janelas do mar
48,Itea,GR,78.21,scattered clouds,38.4333,22.4167,Trokadero Hotel
50,Praya,CV,79.03,overcast clouds,14.9215,-23.5087,LT Aparthotel
52,Awbari,LY,84.15,clear sky,26.5921,12.7805,فندق أوباري
54,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
59,Nong Khae,TH,81.01,light rain,14.3406,100.8673,ถึงฝัน อพาร์ทเทล
64,Bilma,NE,94.48,few clouds,18.6853,12.9164,Expeditions Ténére voyages
67,Abonnema,NG,76.03,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
69,Fort Morgan,US,90.82,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
72,Cabo San Lucas,MX,89.91,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
78,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
79,Peachland,CA,93.85,scattered clouds,49.7665,-119.7357,Wine Stopper B&B
81,Banda Aceh,ID,78.87,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
84,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
86,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Watertown,US,79.14,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
92,Port Blair,IN,81.27,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
94,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
98,San Lawrenz,MT,79.86,overcast clouds,36.0553,14.204,San Andrea Hotel
100,Gigmoto,PH,82.33,overcast clouds,13.7796,124.39,Cj's Travellers Inn
105,Praia,CV,79.03,overcast clouds,14.9215,-23.5087,LT Aparthotel
108,Kevsala,RU,79.16,clear sky,45.7983,42.6903,Yamal
110,Kahului,US,91.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
111,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
115,Atar,MR,87.94,light rain,20.5169,-13.0499,Oumou Elghoura
123,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
127,Itarema,BR,77.83,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Palmer,US,76.37,few clouds,42.1584,-72.3287,Wedgewood Motel
129,Samarai,PG,78.62,moderate rain,-10.6167,150.6667,Nuli Sapi
130,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
132,Faanui,PF,78.67,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Pandan,PH,82.08,broken clouds,14.0453,124.1694,Bonifacio Lodge
141,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
143,New Smyrna Beach,US,86.05,overcast clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
145,Bethel,US,79.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
146,Najran,SA,78.51,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
147,Shimoda,JP,82.08,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
153,Lakeside,US,79.38,drizzle,30.13,-81.7682,Whitey's Fish Camp
157,Canton,CN,80.55,broken clouds,23.1167,113.25,Shangjiuwan Hotel
158,Hilo,US,89.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
160,Isangel,VU,75.76,overcast clouds,-19.55,169.2667,Tanna Lodge
163,Patrasaer,IN,79.61,overcast clouds,23.2167,87.5167,kali mandir
168,Arrecife,ES,75.18,few clouds,28.963,-13.5477,Hotel Lancelot
170,Sao Filipe,CV,77.92,overcast clouds,14.8961,-24.4956,Hotel Xaguate
171,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
176,Kadiri,IN,75.18,overcast clouds,14.1167,78.1667,Chandra's Lodge
179,Pundaguitan,PH,83.41,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
182,Hirara,JP,84.06,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
185,Muli,MV,80.65,light rain,2.9167,73.5667,Medhufushi Island Resort
186,Hamilton,US,81.21,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
190,Hithadhoo,MV,80.51,overcast clouds,-0.6,73.0833,Scoop Guest House
195,Pontes E Lacerda,BR,83.16,few clouds,-15.2261,-59.3353,Hotel Bressan
200,Awjilah,LY,78.94,clear sky,29.1081,21.2869,المنزل
202,Trinidad,BO,81.82,clear sky,-14.8333,-64.9,Hotel Piesta
208,Sanjwal,PK,81.82,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
210,Lazaro Cardenas,MX,84.92,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
214,Porto Novo,BJ,75.47,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
215,Dhing,IN,76.8,overcast clouds,26.4667,92.4667,Majibur Hotel
216,Bocas Del Toro,PA,81.68,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
220,Lamar,US,91.98,clear sky,33.6668,-95.5836,Kings Inn Paris TX
223,Matara,LK,75.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
225,Port-Gentil,GA,76.77,broken clouds,-0.7193,8.7815,Fengshui Residence
227,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
228,Amarante Do Maranhao,BR,81.41,clear sky,-5.5667,-46.7422,Hotéis Caçulinha
229,Bambanglipuro,ID,75.02,overcast clouds,-7.95,110.2833,Puri Brata
231,Alofi,NU,75.52,scattered clouds,-19.0595,-169.9187,Taloa Heights
232,Vilhena,BR,77.07,clear sky,-12.7406,-60.1458,Hotel Mirage
234,Ambon,ID,77.14,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
236,Alton,US,85.28,clear sky,38.8906,-90.1843,Best Western Plus Parkway Hotel
237,Riyadh,SA,82.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
238,Victoria,HK,86.32,few clouds,22.2855,114.1577,Mini Central
240,Bettiah,IN,78.76,heavy intensity rain,26.8,84.5,Bhola Clarks Inn
247,Charlotte,US,88.88,few clouds,35.2271,-80.8431,Charlotte Marriott City Center
249,Portland,US,94.86,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
252,Tutoia,BR,78.55,clear sky,-2.7619,-42.2744,Pousada Guará's
259,Pehowa,IN,80.22,clear sky,29.9833,76.5833,Hotel Kwality
266,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
269,Katsuura,JP,82.42,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
274,San Patricio,US,89.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
283,Sainte-Rose,GP,83.17,few clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
284,Xenia,US,79.27,few clouds,39.6848,-83.9296,Ramada by Wyndham Xenia
289,Carmen,MX,86.04,scattered clouds,18.6333,-91.8333,Hotel Lossandes
296,Coxim,BR,84.87,scattered clouds,-18.5067,-54.76,Rancho Da Curica
301,Gimli,CA,82.42,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
302,San Benedetto Del Tronto,IT,75.06,overcast clouds,42.9456,13.8816,Hotel Imperial
305,Barra Do Garcas,BR,82.81,few clouds,-15.89,-52.2567,Pousada Tropical
310,Nichinan,JP,80.28,light rain,31.6,131.3667,Guest House Aki
311,Mamallapuram,IN,78.85,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
323,Cintalapa,MX,76.42,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
324,Eyl,SO,76.41,broken clouds,7.9803,49.8164,Amiin Hotel
330,Praxedis Guerrero,MX,80.06,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
332,Singarayakonda,IN,82.33,overcast clouds,15.25,80.0333,Sri Nrk A/C Lodge
334,Vanimo,PG,80.94,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
337,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
338,Muscatine,US,87.6,clear sky,41.4667,-91.1335,Bed Bekfast
341,Hambantota,LK,77.41,overcast clouds,6.1241,81.1185,Bungalow 63
346,La Ronge,CA,80.82,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
347,Ugoofaaru,MV,79.34,overcast clouds,5.6667,73.0,Ungoofaaru Inn
354,Kupang,ID,77.74,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
355,Tunceli,TR,76.84,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
367,Kavaratti,IN,77.32,moderate rain,10.5669,72.642,Green leaf
376,Pacific Grove,US,83.55,clear sky,36.6177,-121.9166,Lovers Point Inn
381,Magnolia,US,89.29,overcast clouds,33.2671,-93.2393,Budget Inn
384,Jacareacanga,BR,83.25,few clouds,-6.2222,-57.7528,Casa do Ian😎
387,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
390,Nabire,ID,76.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
392,Kieta,PG,82.08,light rain,-6.2167,155.6333,Uruna Bay Retreat
393,Yashkul,RU,79.66,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
395,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
399,North Bend,US,76.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
401,Kirakira,SB,79.72,light rain,-10.4544,161.9205,SanBiz Lodge
403,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
406,Sinnamary,GF,79.66,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
412,Iberia,US,91.96,clear sky,29.9502,-91.7507,back to back rv park
413,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,hotel la terminal
415,Hasaki,JP,84.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
417,Srandakan,ID,75.2,overcast clouds,-7.9386,110.2506,Puri Brata
418,Tateyama,JP,82.09,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
421,Kankon,IN,76.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
423,Seydi,TM,77.58,clear sky,39.4816,62.9137,Seydi oteli
427,Cadereyta,MX,90.59,overcast clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
431,Flin Flon,CA,76.84,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
433,Coelho Neto,BR,81.63,few clouds,-4.2567,-43.0128,Hotel Tejof
434,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
440,Kamaishi,JP,78.69,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
447,Warri,NG,75.42,light rain,5.5167,5.75,GT Guesthouse
448,Touros,BR,75.94,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
452,Bubaque,GW,79.83,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
456,Ishigaki,JP,82.53,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
463,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
467,Coari,BR,80.62,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
469,Iralaya,HN,80.06,overcast clouds,15.0,-83.2333,Iglesia morava renovada
470,Jibuti,DJ,80.17,few clouds,11.5,42.5,Orchid Main Camp Goubet
471,Sulphur,US,93.18,scattered clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
473,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
474,Auki,SB,81.88,overcast clouds,-8.7676,160.7034,Auki Motel
478,Kota Bahru,MY,76.95,few clouds,6.1333,102.2386,Grand Riverview Hotel
479,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
481,Beyneu,KZ,78.69,clear sky,45.3167,55.2,NUR
482,Bacungan,PH,78.85,broken clouds,9.9106,118.7022,Sumayang Property
489,Lorengau,PG,83.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
490,Dawson Creek,CA,82.04,few clouds,55.7666,-120.2362,Peace Villa Motel
493,Diamantino,BR,83.34,few clouds,-14.4086,-56.4461,Hotel Delta
495,Pamanukan,ID,76.5,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
498,Kuchaman,IN,81.25,broken clouds,27.15,74.85,Hotel Shivam Palace
501,Doha,QA,91.29,clear sky,25.2867,51.5333,Mövenpick Doha
504,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Beach Rotana
505,Kulhudhuffushi,MV,78.13,overcast clouds,6.6221,73.07,Haajy Guest House 1
506,Lakatoro,VU,79.77,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
508,Arawa,PG,82.62,light rain,-6.2132,155.5367,Coastline Guest House
511,Khanpur,PK,85.37,clear sky,28.6453,70.6567,Ahmad Bartan store
516,Aden,YE,84.6,few clouds,12.7794,45.0367,Sama Emirate Hotel
518,Greensburg,US,77.0,few clouds,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
519,Eirunepe,BR,83.23,scattered clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
520,Banff,CA,85.23,clear sky,51.1762,-115.5698,Banff Aspen Lodge
523,Tabas,IR,76.73,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
524,Trincomalee,LK,76.46,light rain,8.5711,81.2335,Welcombe Hotel
528,Daru,PG,79.48,broken clouds,-9.0763,143.2092,Daru Lodge
533,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
537,Mogadishu,SO,75.58,broken clouds,2.0371,45.3438,Hotel Juba
538,Quixeramobim,BR,85.59,broken clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
540,Stabat,ID,75.4,overcast clouds,3.761,98.4513,Link VII damai
542,Lohardaga,IN,75.04,heavy intensity rain,23.4333,84.6833,Shorya Sweet Palace
545,Russell,US,91.0,clear sky,32.3502,-85.1999,Macs
550,Qurayyat,SA,82.58,clear sky,31.3318,37.3428,Resorts Kandel
552,Kokopo,PG,82.81,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
553,Porto Velho,BR,82.45,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
556,Lamentin,GP,82.99,few clouds,16.271,-61.6312,Apartment rue Jean Jacobson
558,Sungairaya,ID,77.45,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
559,Zhanaozen,KZ,80.4,clear sky,43.3,52.8,K.korabay 28A
560,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
564,Maine-Soroa,NE,83.68,broken clouds,13.2114,12.0241,Complexe
565,Tra Vinh,VN,77.2,scattered clouds,9.9347,106.3453,Hồng Ân
567,Sao Raimundo Nonato,BR,78.64,scattered clouds,-9.0153,-42.6994,Real Hotel
568,Rocky Mountain House,CA,80.74,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
569,Sola,VU,79.93,overcast clouds,-13.8833,167.55,Leumerus Bungalows
572,Manicore,BR,82.35,clear sky,-5.8092,-61.3003,Hotel Durval
575,Trat,TH,77.88,overcast clouds,12.5,102.5,สวนหนิง-อัศ
576,Mount Pleasant,US,86.31,clear sky,32.7941,-79.8626,Best Western Patriots Point
579,Sawakin,SD,89.1,broken clouds,19.1059,37.3321,فندق الدويم
580,Magdalena,PH,79.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
582,Carutapera,BR,79.09,broken clouds,-1.195,-46.02,Lidera
585,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
586,Emilio Carranza,MX,84.47,overcast clouds,19.9711,-96.6114,Hotel Carranza Inn
587,Bodden Town,KY,84.2,broken clouds,19.2833,-81.25,Will T Place
590,Porbandar,IN,80.04,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
591,Harker Heights,US,88.5,clear sky,31.0835,-97.6597,Best Western Harker Heights
592,Rosetta,EG,78.21,clear sky,31.4044,30.4164,Green Valley
594,Sur,OM,84.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
