City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fortuna,US,40.5982,-124.1573,69.93,79,0,13.8,clear sky
1,Kruisfontein,ZA,-34.0033,24.7314,53.89,81,0,7.47,clear sky
2,Qui Nhon,VN,13.7667,109.2333,78.26,87,0,4.21,clear sky
3,Zhob,PK,31.3411,69.4481,74.97,58,0,4.12,clear sky
4,Barrow,US,71.2906,-156.7887,39.22,93,100,23.02,mist
5,Qaanaaq,GL,77.484,-69.3632,31.82,68,0,3.18,clear sky
6,Thompson,CA,55.7435,-97.8558,57.43,47,98,3.4,overcast clouds
7,Jamestown,US,42.097,-79.2353,73.02,49,20,13.8,few clouds
8,Miraflores,MX,19.2167,-98.8083,77.65,74,100,3.0,overcast clouds
9,Kavieng,PG,-2.5744,150.7967,84.61,64,97,17.49,overcast clouds
10,East London,ZA,-33.0153,27.9116,56.8,69,0,16.8,clear sky
11,Lasa,IT,46.6166,10.7002,56.7,91,94,4.56,overcast clouds
12,Warangal,IN,18.0,79.5833,76.1,93,95,6.82,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,73.33,76,1,4.43,clear sky
14,Butaritari,KI,3.0707,172.7902,82.13,75,7,19.84,clear sky
15,Clyde River,CA,70.4692,-68.5914,42.62,63,100,6.87,overcast clouds
16,San Jose,US,37.3394,-121.895,95.22,44,0,12.66,clear sky
17,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,94,100,5.75,mist
18,Busselton,AU,-33.65,115.3333,46.44,83,0,9.57,clear sky
19,Winnemucca,US,40.973,-117.7357,98.65,10,0,13.8,clear sky
20,Camacha,PT,33.0833,-16.3333,69.22,73,40,10.36,scattered clouds
21,Fort Payne,US,34.4442,-85.7197,87.01,62,0,5.41,clear sky
22,Meulaboh,ID,4.1363,96.1285,75.56,90,100,6.73,light rain
23,Guerrero Negro,MX,27.9769,-114.0611,79.38,65,12,15.97,few clouds
24,Salisbury,GB,51.0693,-1.7957,62.46,67,20,6.91,few clouds
25,Vaini,TO,-21.2,-175.2,71.71,69,1,17.0,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,44.11,81,100,11.32,overcast clouds
27,Bandarbeyla,SO,9.4942,50.8122,76.14,84,99,22.41,overcast clouds
28,Cockburn Town,TC,21.4612,-71.1419,83.21,75,7,11.34,clear sky
29,Port Elizabeth,ZA,-33.918,25.5701,56.32,77,0,8.01,clear sky
30,Atuona,PF,-9.8,-139.0333,77.07,67,5,21.39,clear sky
31,Castro,BR,-24.7911,-50.0119,51.87,86,10,7.31,clear sky
32,Slyudyanka,RU,51.6594,103.7061,53.24,73,22,7.07,few clouds
33,Ushuaia,AR,-54.8,-68.3,44.26,76,75,13.8,broken clouds
34,Avarua,CK,-21.2078,-159.775,80.65,78,20,9.22,few clouds
35,Bluff,NZ,-46.6,168.3333,57.79,83,94,4.63,overcast clouds
36,Pevek,RU,69.7008,170.3133,33.37,85,100,12.84,overcast clouds
37,Carnarvon,AU,-24.8667,113.6333,64.24,38,15,15.66,few clouds
38,Cherskiy,RU,68.75,161.3,40.39,75,100,4.81,overcast clouds
39,Sakakah,SA,29.9697,40.2064,88.12,15,7,1.57,clear sky
40,Salalah,OM,17.0151,54.0924,77.09,88,75,2.3,broken clouds
41,Cape Town,ZA,-33.9258,18.4232,69.1,32,46,10.29,scattered clouds
42,Bengkulu,ID,-3.8004,102.2655,74.7,90,81,3.94,broken clouds
43,Staryy Nadym,RU,65.6118,72.6842,39.7,85,65,7.07,broken clouds
44,Ulaangom,MN,49.9811,92.0667,55.17,59,84,2.46,broken clouds
45,Georgetown,MY,5.4112,100.3354,80.53,94,20,4.61,few clouds
46,Mehamn,NO,71.0357,27.8492,42.75,81,100,6.91,overcast clouds
47,Trairi,BR,-3.2778,-39.2689,77.94,75,9,13.65,clear sky
48,Itea,GR,38.4333,22.4167,78.21,60,38,4.83,scattered clouds
49,Hobart,AU,-42.8794,147.3294,55.26,67,20,6.91,few clouds
50,Praya,CV,14.9215,-23.5087,79.03,80,100,7.72,overcast clouds
51,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,11.5,broken clouds
52,Awbari,LY,26.5921,12.7805,84.15,23,0,11.03,clear sky
53,Guangyuan,CN,32.442,105.823,63.9,86,98,0.63,overcast clouds
54,High Rock,BS,26.6208,-78.2833,82.42,69,5,6.55,clear sky
55,Fairbanks,US,64.8378,-147.7164,64.74,61,20,8.05,few clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,90,7.0,overcast clouds
57,Troitskaya,RU,43.3056,44.9789,66.22,46,2,3.69,clear sky
58,Elko,US,41.0002,-115.5012,95.05,12,4,8.01,clear sky
59,Nong Khae,TH,14.3406,100.8673,81.01,90,100,4.61,light rain
60,Lavrentiya,RU,65.5833,-171.0,45.14,98,100,9.28,light rain
61,Port Alfred,ZA,-33.5906,26.891,55.18,76,0,5.01,clear sky
62,Mkushi,ZM,-13.6202,29.3939,57.25,80,8,12.01,clear sky
63,Talnakh,RU,69.4865,88.3972,37.54,85,15,2.37,few clouds
64,Bilma,NE,18.6853,12.9164,94.48,27,13,9.51,few clouds
65,Iqaluit,CA,63.7506,-68.5145,45.7,75,96,18.01,overcast clouds
66,Pombia,IT,45.653,8.6336,72.39,78,75,11.5,thunderstorm with light rain
67,Abonnema,NG,4.7084,6.7931,76.03,87,96,5.5,overcast clouds
68,Torbay,CA,47.6666,-52.7314,71.38,86,11,4.0,few clouds
69,Fort Morgan,US,40.2503,-103.8,90.82,20,0,14.97,clear sky
70,Bani Walid,LY,31.7566,13.9942,74.7,65,0,3.98,clear sky
71,Kushiro,JP,42.975,144.3747,63.55,88,75,3.44,broken clouds
72,Cabo San Lucas,MX,22.8909,-109.9124,89.91,58,75,11.5,broken clouds
73,Alice Springs,AU,-23.7,133.8833,51.35,100,100,8.05,overcast clouds
74,Mataura,NZ,-46.1927,168.8643,57.47,62,52,3.13,broken clouds
75,Hermanus,ZA,-34.4187,19.2345,59.11,47,46,11.43,scattered clouds
76,Lebu,CL,-37.6167,-73.65,49.6,90,10,11.97,clear sky
77,Natal,BR,-5.795,-35.2094,75.85,78,0,8.05,clear sky
78,Tiarei,PF,-17.5333,-149.3333,84.22,76,10,17.11,light rain
