City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2022-08-31 21:45:03,-33.6971,-53.4616,286.0,90,85,3.6
1,Rikitea,PF,2022-08-31 21:45:05,-23.1203,-134.9692,296.01,77,1,1.81
2,Ribeira Grande,PT,2022-08-31 21:45:06,38.5167,-28.7,295.89,81,82,3.54
3,Quincy,US,2022-08-31 21:45:07,42.2529,-71.0023,301.53,44,40,8.75
4,Castro,BR,2022-08-31 21:45:08,-24.7911,-50.0119,285.07,82,12,2.76
5,Ushuaia,AR,2022-08-31 21:45:09,-54.8,-68.3,280.96,66,75,3.09
6,Nago,JP,2022-08-31 21:40:17,26.5881,127.9761,302.39,83,85,8.33
7,Georgetown,MY,2022-08-31 21:44:10,5.4112,100.3354,300.9,94,20,1.54
8,Rio Verde De Mato Grosso,BR,2022-08-31 21:44:39,-18.9181,-54.8442,303.1,24,14,2.45
9,Kidal,ML,2022-08-31 21:45:12,18.4411,1.4078,305.53,35,49,4.36
10,East London,ZA,2022-08-31 21:42:46,-33.0153,27.9116,286.96,68,0,6.95
11,Busselton,AU,2022-08-31 21:45:13,-33.65,115.3333,281.24,82,0,4.36
12,Lozova,UA,2022-08-31 21:45:14,48.8894,36.3176,291.75,55,87,3.45
13,Punta Arenas,CL,2022-08-31 21:45:15,-53.15,-70.9167,281.21,76,100,5.66
14,Mount Isa,AU,2022-08-31 21:45:16,-20.7333,139.5,293.02,64,67,3.09
15,Hobart,AU,2022-08-31 21:40:24,-42.8794,147.3294,284.29,79,20,2.57
16,Riyadh,SA,2022-08-31 21:42:26,24.6877,46.7219,305.23,19,100,3.2
17,Puerto Ayora,EC,2022-08-31 21:40:21,-0.7393,-90.3518,298.13,90,91,4.02
18,Jamestown,US,2022-08-31 21:43:47,42.097,-79.2353,297.6,44,40,7.2
19,Macklin,CA,2022-08-31 21:45:22,52.3334,-109.9348,307.34,17,30,5.57
20,Nikolskoye,RU,2022-08-31 21:45:23,59.7035,30.7861,281.41,95,100,5.18
21,Kapaa,US,2022-08-31 21:45:24,22.0752,-159.319,302.14,64,20,6.17
22,Haines Junction,CA,2022-08-31 21:45:25,60.7522,-137.5108,289.12,41,8,3.09
23,Albany,US,2022-08-31 21:43:26,42.6001,-73.9662,298.38,52,24,3.26
24,Kavali,IN,2022-08-31 21:45:26,14.9167,79.9833,301.06,77,99,2.62
25,Flinders,AU,2022-08-31 21:45:28,-34.5833,150.8552,286.03,92,19,1.79
26,Lasa,IT,2022-08-31 21:45:29,46.6166,10.7002,289.64,92,93,1.99
27,Khatanga,RU,2022-08-31 21:45:31,71.9667,102.5,276.36,94,100,7.83
28,Sitio Novo Do Tocantins,BR,2022-08-31 21:45:32,-5.5183,-47.4611,303.83,29,23,1.44
29,Tahe,CN,2022-08-31 21:45:33,52.3333,124.7333,276.59,91,23,1.8
30,Baturaja,ID,2022-08-31 21:45:33,-4.1333,104.1667,295.45,98,99,1.13
31,Qaanaaq,GL,2022-08-31 21:45:34,77.484,-69.3632,273.77,68,0,1.01
32,Leningradskiy,RU,2022-08-31 21:45:35,69.3833,178.4167,273.85,99,100,6.13
33,Seymchan,RU,2022-08-31 21:45:36,62.8833,152.4333,285.26,53,61,2.23
34,Cherskiy,RU,2022-08-31 21:45:37,68.75,161.3,277.15,79,100,2.05
35,Skibbereen,IE,2022-08-31 21:45:37,51.55,-9.2667,288.77,76,98,3.62
36,Majene,ID,2022-08-31 21:45:38,-3.5403,118.9707,297.85,88,18,3.83
37,Hithadhoo,MV,2022-08-31 21:45:39,-0.6,73.0833,300.12,75,94,7.1
38,Katsuura,JP,2022-08-31 21:45:40,35.1333,140.3,300.68,84,7,8.31
39,Tricase,IT,2022-08-31 21:45:41,39.9304,18.3553,296.79,67,0,0.95
40,Lebu,CL,2022-08-31 21:45:41,-37.6167,-73.65,284.07,82,8,4.35
41,Leh,IN,2022-08-31 21:45:42,34.1667,77.5833,288.62,45,3,2.49
42,Xuddur,SO,2022-08-31 21:45:43,4.1213,43.8894,294.42,75,45,7.99
43,North Bend,US,2022-08-31 21:45:44,43.4065,-124.2243,298.28,84,40,6.17
44,Verkhniye Tatyshly,RU,2022-08-31 21:45:45,56.2912,55.8575,290.71,82,78,2.21
45,Saint-Philippe,RE,2022-08-31 21:45:46,-21.3585,55.7679,292.16,78,16,1.62
46,Qingyuan,CN,2022-08-31 21:45:46,23.7,113.0333,300.14,89,70,2.41
47,Port Alfred,ZA,2022-08-31 21:45:47,-33.5906,26.891,286.03,74,0,2.24
48,Ponta Do Sol,PT,2022-08-31 21:45:48,32.6667,-17.1,295.93,67,98,3.15
49,Pacific Grove,US,2022-08-31 21:45:48,36.6177,-121.9166,302.73,76,0,4.92
50,Codrington,AU,2022-08-31 21:45:49,-38.2667,141.9667,281.8,74,100,4.1
51,Bluff,NZ,2022-08-31 21:45:50,-46.6,168.3333,287.48,87,100,2.4
52,Qasigiannguit,GL,2022-08-31 21:45:50,68.8193,-51.1922,278.29,84,94,2.48
53,Arraial Do Cabo,BR,2022-08-31 21:40:57,-22.9661,-42.0278,292.07,68,0,6.69
54,Atuona,PF,2022-08-31 21:43:04,-9.8,-139.0333,298.25,67,6,9.93
55,Kodiak,US,2022-08-31 21:45:52,57.79,-152.4072,285.88,94,100,4.12
56,Chokurdakh,RU,2022-08-31 21:45:53,70.6333,147.9167,278.88,57,100,2.9
57,Kamenka,RU,2022-08-31 21:45:54,51.3223,42.7678,291.69,50,19,1.97
58,Ambulu,ID,2022-08-31 21:45:55,-8.345,113.6058,295.71,93,94,1.44
59,Bambous Virieux,MU,2022-08-31 21:45:55,-20.3428,57.7575,291.6,94,20,2.57
60,Mata,PT,2022-08-31 21:45:56,40.683,-7.4592,290.24,83,26,1.97
61,Palu,ID,2022-08-31 21:45:57,-0.8917,119.8707,296.31,95,17,1.23
62,Lorengau,PG,2022-08-31 21:45:58,-2.0226,147.2712,301.04,80,87,4.65
63,Carnarvon,AU,2022-08-31 21:45:59,-24.8667,113.6333,291.14,40,11,7.53
64,Sibolga,ID,2022-08-31 21:45:59,1.7427,98.7792,297.18,88,85,1.75
65,Roebourne,AU,2022-08-31 21:46:00,-20.7833,117.1333,294.07,56,24,2.95
66,Kahului,US,2022-08-31 21:46:01,20.8947,-156.47,301.4,64,40,6.69
67,Kutum,SD,2022-08-31 21:46:01,14.2,24.6667,298.5,55,79,2.87
68,Yar-Sale,RU,2022-08-31 21:46:02,66.8333,70.8333,278.77,80,89,3.94
69,Tura,IN,2022-08-31 21:46:03,25.5198,90.2201,296.46,97,100,1.8
70,Longyearbyen,SJ,2022-08-31 21:46:04,78.2186,15.6401,276.06,81,75,2.57
71,Cape Town,ZA,2022-08-31 21:46:05,-33.9258,18.4232,292.8,36,0,2.06
72,Sjovegan,NO,2022-08-31 21:46:06,68.8726,17.8474,282.15,86,99,1.03
73,Mizan Teferi,ET,2022-08-31 21:46:07,6.9833,35.5833,289.52,93,99,1.09
74,General Roca,AR,2022-08-31 21:46:08,-39.0333,-67.5833,292.38,25,78,7.41
75,Bathsheba,BB,2022-08-31 21:46:09,13.2167,-59.5167,303.49,62,20,5.66
76,Norman Wells,CA,2022-08-31 21:46:10,65.282,-126.8329,292.17,59,75,2.57
77,Richards Bay,ZA,2022-08-31 21:46:12,-28.783,32.0377,288.18,70,61,2.24
78,Lazaro Cardenas,MX,2022-08-31 21:46:13,17.9583,-102.2,303.21,66,99,3.58
79,Povolzhskiy,RU,2022-08-31 21:46:14,53.5854,49.7629,296.94,69,43,2.8
80,Verkhnyaya Toyma,RU,2022-08-31 21:46:15,62.2349,44.9985,280.9,92,100,6.58
81,Talnakh,RU,2022-08-31 21:46:16,69.4865,88.3972,275.49,86,14,1.38
82,Vaini,TO,2022-08-31 21:46:17,-21.2,-175.2,297.24,78,75,4.12
83,Kirakira,SB,2022-08-31 21:46:18,-10.4544,161.9205,299.7,82,99,4.93
84,Rio Tercero,AR,2022-08-31 21:46:19,-32.173,-64.1141,293.96,31,40,3.37
85,Rocha,UY,2022-08-31 21:46:21,-34.4833,-54.3333,286.41,92,87,2.95
86,Jega,NG,2022-08-31 21:46:22,12.2175,4.3792,299.21,78,94,3.43
87,Lysyye Gory,RU,2022-08-31 21:46:23,51.5506,44.8414,294.39,51,10,1.83
88,Tiksi,RU,2022-08-31 21:46:24,71.6872,128.8694,278.21,95,84,2.18
89,Van,TR,2022-08-31 21:46:25,38.4924,43.3831,287.79,47,20,1.54
90,Dunedin,NZ,2022-08-31 21:46:26,-45.8742,170.5036,285.26,81,50,1.34
91,Victoria,HK,2022-08-31 21:46:27,22.2855,114.1577,303.33,84,6,2.24
92,Freeport,US,2022-08-31 21:46:28,40.6576,-73.5832,303.31,37,0,6.69
93,Linhares,BR,2022-08-31 21:46:29,-19.3911,-40.0722,290.08,69,66,2.11
94,Muros,ES,2022-08-31 21:46:30,42.7762,-9.0603,290.75,90,88,2.01
95,Gemena,CD,2022-08-31 21:46:31,3.25,19.7667,293.74,98,99,0.63
96,Mitu,CO,2022-08-31 21:46:32,1.1983,-70.1733,298.54,84,78,0.91
97,Aksarka,RU,2022-08-31 21:46:34,66.5606,67.7975,279.0,73,96,0.55
98,Kaduqli,SD,2022-08-31 21:46:35,11.0167,29.7167,295.24,91,2,2.47
99,Bukama,CD,2022-08-31 21:46:36,-9.2,25.85,302.16,28,100,0.9
100,Sabha,LY,2022-08-31 21:46:37,27.0377,14.4283,303.31,27,0,7.51
101,Cayenne,GF,2022-08-31 21:43:54,4.9333,-52.3333,300.17,78,54,2.06
102,Kingston,JM,2022-08-31 21:42:11,17.997,-76.7936,302.73,79,75,9.77
103,Guanica,PR,2022-08-31 21:46:38,17.9716,-66.908,302.54,87,66,1.26
104,Ransang,PH,2022-08-31 21:46:39,8.9603,117.5828,299.07,84,87,0.54
105,Cabo San Lucas,MX,2022-08-31 21:46:40,22.8909,-109.9124,306.32,51,75,5.14
106,Maracaju,BR,2022-08-31 21:41:52,-21.6144,-55.1683,297.5,47,0,3.72
107,Bobo Dioulasso,BF,2022-08-31 21:46:41,11.1771,-4.2979,297.4,83,20,2.06
108,Matara,LK,2022-08-31 21:46:43,5.9485,80.5353,297.61,89,99,5.29
109,Kieta,PG,2022-08-31 21:46:43,-6.2167,155.6333,300.38,79,85,1.08
110,Barrow,US,2022-08-31 21:46:44,71.2906,-156.7887,277.16,93,100,9.77
111,Barcelona,ES,2022-08-31 21:46:45,41.3888,2.159,297.34,73,0,5.14
112,Mataura,NZ,2022-08-31 21:46:45,-46.1927,168.8643,287.3,71,59,1.26
113,Airai,TL,2022-08-31 21:46:46,-8.9266,125.4092,286.93,76,79,1.38
114,Matagami,CA,2022-08-31 21:46:47,49.7502,-77.6328,284.21,82,100,5.66
115,Bredasdorp,ZA,2022-08-31 21:46:47,-34.5322,20.0403,284.08,73,43,2.92
116,Mar Del Plata,AR,2022-08-31 21:46:48,-38.0023,-57.5575,286.16,54,0,5.81
117,Palmer,US,2022-08-31 21:46:49,42.1584,-72.3287,300.18,45,20,5.14
118,Acapulco,MX,2022-08-31 21:46:50,16.8634,-99.8901,303.05,70,75,3.09
119,Margate,GB,2022-08-31 21:46:50,51.3813,1.3862,292.54,80,19,3.58
120,Kaspiysk,RU,2022-08-31 21:46:51,42.8816,47.6392,295.25,88,4,1.0
121,Choya,RU,2022-08-31 21:46:52,52.0108,86.5467,286.13,65,26,1.86
122,Rodeo,US,2022-08-31 21:46:53,38.033,-122.2669,309.44,50,0,5.66
123,New Norfolk,AU,2022-08-31 21:46:53,-42.7826,147.0587,284.66,67,93,0.89
124,Kanchipuram,IN,2022-08-31 21:46:54,12.8333,79.7167,298.29,89,72,1.6
125,Kyshtovka,RU,2022-08-31 21:46:55,56.555,76.6271,289.89,63,99,4.26
126,Barrancas,CO,2022-08-31 21:46:55,10.9576,-72.7877,302.31,73,83,2.34
127,Nanakuli,US,2022-08-31 21:46:56,21.3906,-158.1547,304.12,51,40,5.66
128,Nanortalik,GL,2022-08-31 21:46:58,60.1432,-45.2371,278.14,80,65,5.33
129,Nagoya,JP,2022-08-31 21:46:58,35.1815,136.9064,300.91,69,100,0.45
130,Provideniya,RU,2022-08-31 21:46:59,64.3833,-173.3,281.21,100,100,4.02
131,Hilo,US,2022-08-31 21:47:00,19.7297,-155.09,304.42,70,0,3.6
132,Faanui,PF,2022-08-31 21:47:00,-16.4833,-151.75,298.98,61,36,8.75
133,Adrar,MR,2022-08-31 21:47:01,20.5022,-10.0711,304.66,38,100,1.24
134,Anadyr,RU,2022-08-31 21:47:02,64.75,177.4833,280.43,93,75,5.0
135,Los Llanos De Aridane,ES,2022-08-31 21:47:03,28.6585,-17.9182,294.01,94,100,5.66
136,Cape Coast,GH,2022-08-31 21:47:04,5.1053,-1.2466,296.49,93,92,4.43
