City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ambam,CM,2022-08-28 00:29:59,2.3833,11.2833,291.51,99,74,1.03
1,Jamestown,US,2022-08-28 00:30:00,42.097,-79.2353,293.72,77,0,4.12
2,Gamba,GA,2022-08-28 00:30:01,-2.65,10.0,295.03,85,89,2.38
3,Jati,PK,2022-08-28 00:30:01,24.3539,68.2671,298.56,83,76,5.96
4,Khatanga,RU,2022-08-28 00:30:02,71.9667,102.5,275.36,97,100,6.14
5,Rikitea,PF,2022-08-28 00:30:02,-23.1203,-134.9692,294.97,67,100,8.9
6,Mar Del Plata,AR,2022-08-28 00:30:03,-38.0023,-57.5575,280.42,66,40,8.94
7,Hilo,US,2022-08-28 00:30:04,19.7297,-155.09,302.75,67,0,5.14
8,Mataura,NZ,2022-08-28 00:30:04,-46.1927,168.8643,281.19,54,98,0.78
9,Esperance,AU,2022-08-28 00:30:05,-33.8667,121.9,281.06,77,100,9.66
10,Busselton,AU,2022-08-28 00:30:06,-33.65,115.3333,284.13,69,100,4.63
11,Vila Velha,BR,2022-08-28 00:30:06,-20.3297,-40.2925,296.12,91,75,2.06
12,Vaini,TO,2022-08-28 00:30:07,-21.2,-175.2,300.24,78,20,4.63
13,Bredasdorp,ZA,2022-08-28 00:30:08,-34.5322,20.0403,279.77,87,0,2.57
14,Qaanaaq,GL,2022-08-28 00:30:08,77.484,-69.3632,272.67,71,96,0.95
15,Panjab,AF,2022-08-28 00:30:09,34.388,67.0233,282.47,50,0,2.03
16,Albany,US,2022-08-28 00:29:37,42.6001,-73.9662,295.38,71,20,0.83
17,Narsaq,GL,2022-08-28 00:30:10,60.9167,-46.05,280.27,87,7,2.04
18,Nijar,ES,2022-08-28 00:30:11,36.9665,-2.206,298.51,74,0,2.57
19,Punta Arenas,CL,2022-08-28 00:30:11,-53.15,-70.9167,278.21,75,0,10.29
20,Victoria,HK,2022-08-28 00:29:47,22.2855,114.1577,304.96,85,71,0.45
21,Fujin,CN,2022-08-28 00:30:12,47.26,132.0322,292.24,64,0,5.87
22,Silifke,TR,2022-08-28 00:30:13,36.3778,33.9344,298.75,65,0,1.65
23,Lorengau,PG,2022-08-28 00:30:14,-2.0226,147.2712,301.95,75,32,5.68
24,Barrow,US,2022-08-28 00:30:15,71.2906,-156.7887,277.16,93,100,4.63
25,Cape Town,ZA,2022-08-28 00:25:45,-33.9258,18.4232,285.88,69,20,1.34
26,Georgetown,MY,2022-08-28 00:28:04,5.4112,100.3354,299.2,91,20,1.54
27,Naze,JP,2022-08-28 00:30:16,28.3667,129.4833,302.66,73,59,4.17
28,Yulara,AU,2022-08-28 00:30:17,-25.2406,130.9889,293.83,14,0,4.13
29,Kapaa,US,2022-08-28 00:30:18,22.0752,-159.319,303.14,67,75,6.69
30,Hermanus,ZA,2022-08-28 00:30:18,-34.4187,19.2345,283.75,79,2,2.42
31,Santa Vitoria Do Palmar,BR,2022-08-28 00:30:19,-33.5189,-53.3681,282.43,73,6,7.73
32,Srandakan,ID,2022-08-28 00:30:20,-7.9386,110.2506,298.24,72,100,4.87
33,San Patricio,US,2022-08-28 00:30:20,28.017,-97.5169,304.73,67,5,6.53
34,Iqaluit,CA,2022-08-28 00:30:21,63.7506,-68.5145,277.0,93,75,1.03
35,Port-Cartier,CA,2022-08-28 00:30:22,50.0334,-66.8654,292.97,56,12,2.76
36,Ushuaia,AR,2022-08-28 00:30:01,-54.8,-68.3,275.96,81,100,5.66
37,Salalah,OM,2022-08-28 00:30:23,17.0151,54.0924,297.2,100,100,3.09
38,Port Alfred,ZA,2022-08-28 00:30:23,-33.5906,26.891,286.09,78,0,2.98
